INFO 2024-03-09 18:27:10,108 Watching for file changes with StatReloader
INFO 2024-03-09 18:27:13,099 "GET / HTTP/1.1" 302 0
INFO 2024-03-09 18:27:13,288 "GET /accounts/login/ HTTP/1.1" 200 3819
INFO 2024-03-09 18:27:13,800 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 58582
INFO 2024-03-09 18:27:13,814 "GET /static/dist/css/login-page.css HTTP/1.1" 200 9064
INFO 2024-03-09 18:27:13,836 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 200 686718
INFO 2024-03-09 18:27:13,874 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 200 6454
INFO 2024-03-09 18:27:13,877 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 19736
INFO 2024-03-09 18:27:13,878 "GET /static/dist/img/login.png HTTP/1.1" 200 48197
INFO 2024-03-09 18:27:13,905 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 200 13881
INFO 2024-03-09 18:27:13,929 "GET /static/dist/js/adminlte.js HTTP/1.1" 200 59416
INFO 2024-03-09 18:27:13,931 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 200 5253
INFO 2024-03-09 18:27:13,950 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80704
INFO 2024-03-09 18:27:13,954 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 200 42395
INFO 2024-03-09 18:27:13,967 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 200 88147
INFO 2024-03-09 18:27:14,009 "GET /static/dist/js/demo.js HTTP/1.1" 200 13042
INFO 2024-03-09 18:27:14,174 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 79444
INFO 2024-03-09 18:27:14,341 "GET /favicon.ico HTTP/1.1" 302 0
INFO 2024-03-09 18:27:14,360 "GET /accounts/login/ HTTP/1.1" 200 3819
INFO 2024-03-09 18:27:22,720 "POST /accounts/login/ HTTP/1.1" 302 0
INFO 2024-03-09 18:27:22,940 "GET / HTTP/1.1" 200 13655
INFO 2024-03-09 18:27:23,259 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 200 25807
INFO 2024-03-09 18:27:23,545 "GET /static/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 13584
INFO 2024-03-09 18:27:24,264 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 200 2042927
INFO 2024-03-09 18:27:33,891 "GET /subject/list/ HTTP/1.1" 200 12093
INFO 2024-03-09 18:27:44,902 "POST /subject/create/ HTTP/1.1" 302 0
INFO 2024-03-09 18:27:45,010 "GET /subject/list/ HTTP/1.1" 200 12520
INFO 2024-03-09 18:27:58,271 "POST /subject/create/ HTTP/1.1" 302 0
INFO 2024-03-09 18:27:58,375 "GET /subject/list/ HTTP/1.1" 200 12804
